,0,1,2,3,4,5,6,7,8,9,name
0,66,81,45,64,106,78,53,98,98,304,1
1,62,78,47,67,115,83,54,96,97,297,1
2,62,78,46,68,119,84,52,98,96,293,1
3,62,78,45,67,121,85,53,98,95,291,1
4,61,76,45,68,127,87,54,97,94,286,1
5,63,77,43,68,127,86,53,96,94,288,1
6,62,77,45,67,122,83,53,98,96,292,1
7,63,77,46,67,120,82,53,98,96,293,1
8,62,77,46,69,120,82,53,97,96,292,1
9,63,79,46,68,118,81,54,97,96,293,1
10,61,76,44,70,132,89,54,96,91,283,1
11,59,76,43,71,136,90,54,97,92,278,1
12,63,78,42,65,121,85,51,98,97,294,1
13,62,79,39,61,112,85,52,101,108,297,1
14,56,71,44,72,128,88,53,98,98,286,10
15,61,77,44,70,117,82,54,101,97,291,10
16,62,78,44,70,119,82,55,100,96,289,10
17,59,78,44,71,122,84,54,98,96,289,10
18,61,76,44,71,119,85,52,99,97,292,10
19,58,77,45,69,123,83,55,99,96,289,10
20,62,79,46,66,115,78,53,100,97,297,10
21,62,79,46,67,117,79,54,101,97,294,10
22,60,76,45,68,118,80,54,99,99,295,10
23,63,78,44,69,112,82,52,100,99,297,10
24,62,78,45,71,116,83,53,99,97,292,10
25,60,77,45,70,119,82,52,100,97,293,10
26,57,75,44,68,125,88,52,100,98,289,10
27,51,71,44,73,136,93,52,98,98,278,10
28,62,78,45,72,135,79,49,95,91,290,11
29,61,76,45,74,144,82,48,93,89,284,11
30,61,77,45,73,147,84,47,91,90,280,11
31,57,74,44,76,151,86,48,93,90,277,11
32,56,73,48,78,152,85,47,91,89,275,11
33,60,77,47,76,145,81,46,92,89,281,11
34,58,74,47,75,149,82,48,94,90,278,11
35,62,78,48,71,135,77,47,94,94,289,11
36,61,78,48,73,139,77,48,95,92,284,11
37,62,77,45,72,133,77,50,95,93,292,11
38,59,75,47,79,147,84,49,91,89,276,11
39,54,73,45,76,160,87,49,91,88,271,11
40,51,71,45,83,162,94,51,90,85,264,11
41,50,69,46,83,164,94,49,90,87,263,11
42,60,75,47,77,131,87,54,94,91,279,12
43,60,74,45,74,135,89,55,94,92,277,12
44,59,75,44,73,135,94,53,94,92,277,12
45,59,76,45,72,131,91,53,93,93,282,12
46,59,76,44,70,131,92,52,94,94,284,12
47,60,76,43,69,128,89,53,94,95,287,12
48,60,76,44,69,131,90,52,96,94,284,12
49,61,76,45,70,127,90,53,93,93,287,12
50,55,72,44,75,143,95,54,93,90,274,12
51,57,73,48,77,131,94,56,94,90,276,12
52,61,76,44,69,129,91,52,94,94,286,12
53,59,78,43,71,129,91,52,96,93,284,12
54,56,75,44,73,134,96,53,94,92,278,12
55,52,70,42,73,144,98,51,94,96,275,12
56,50,70,46,80,144,90,55,98,92,271,13
57,62,78,46,75,135,82,50,94,91,280,13
58,56,75,46,78,152,85,50,94,89,270,13
59,57,74,45,78,152,87,49,93,88,270,13
60,59,75,46,79,148,87,50,91,88,272,13
61,54,70,45,82,161,93,52,91,88,261,13
62,58,75,46,79,145,88,52,93,87,273,13
