,0,1,2,3,4,5,6,7,8,9,name
0,80,110,60,63,64,57,36,98,84,344,9540474
1,80,105,63,71,80,64,37,98,79,320,9540474
2,78,104,64,73,78,63,39,94,82,320,9540474
3,80,105,63,70,81,61,38,97,78,323,9540474
4,80,103,65,68,79,61,39,97,80,323,9540474
5,81,104,63,69,76,62,39,94,81,327,9540474
6,80,105,64,68,78,63,37,95,80,325,9540474
7,81,103,63,67,77,60,38,95,81,329,9540474
8,81,103,64,69,79,60,39,95,80,326,9540474
9,81,102,66,67,78,63,38,94,80,326,9540474
10,79,105,63,69,77,62,39,95,79,326,9540474
11,83,107,60,62,64,54,37,100,83,345,9540474
12,79,101,66,69,81,64,37,95,80,324,9540474
13,81,108,61,63,63,56,36,99,84,344,9540474
14,81,107,64,62,63,54,36,101,84,343,9540474
15,78,102,62,70,74,66,40,96,80,327,9540474
16,77,105,64,71,76,61,41,93,81,327,9540474
17,77,108,61,65,69,59,36,99,84,335,9540474
18,79,104,65,71,76,64,37,97,79,323,9540474
19,83,102,57,68,76,62,36,96,78,336,9540474
20,73,105,50,65,75,70,41,90,78,347,9540504
21,75,102,54,69,80,73,39,91,74,338,9540504
22,76,100,55,69,84,74,39,90,74,334,9540504
23,76,96,56,72,85,72,39,90,73,336,9540504
24,74,99,57,71,84,75,39,91,72,334,9540504
25,74,100,55,72,86,73,41,89,72,333,9540504
26,74,98,59,75,85,73,40,90,74,327,9540504
27,75,102,57,72,89,70,39,89,75,327,9540504
28,72,100,56,73,91,78,35,92,71,327,9540504
29,72,98,60,72,95,80,39,90,71,319,9540504
30,74,97,59,71,94,76,39,91,71,321,9540504
31,75,108,48,65,74,67,40,93,77,347,9540504
32,75,94,59,76,92,79,39,87,72,321,9540504
33,76,105,48,64,75,70,40,95,76,346,9540504
34,77,107,48,64,75,68,43,93,75,345,9540504
35,78,107,48,63,75,69,43,93,76,344,9540504
36,76,107,48,63,74,71,40,92,77,346,9540504
37,75,107,50,62,73,73,42,92,75,345,9540504
38,73,106,54,65,77,73,41,94,72,339,9540504
39,74,99,56,70,88,70,37,92,74,335,9540504
40,72,105,61,66,65,63,39,95,87,342,9540512
41,75,99,59,65,72,65,41,96,83,340,9540512
42,75,99,60,68,73,67,38,95,85,334,9540512
43,76,101,61,65,75,65,39,94,86,334,9540512
44,78,102,58,61,70,62,41,96,86,341,9540512
45,78,100,61,65,72,62,40,97,85,335,9540512
46,78,104,59,63,70,63,38,96,86,338,9540512
47,77,103,61,63,74,63,40,95,85,335,9540512
48,74,101,61,67,79,64,39,95,84,330,9540512
49,70,98,61,73,90,71,39,92,79,322,9540512
50,74,97,65,71,93,73,38,89,79,316,9540512
51,72,104,61,62,64,63,38,98,86,346,9540512
52,74,97,63,70,95,69,41,93,77,315,9540512
53,71,105,62,65,65,64,39,96,85,342,9540512
54,74,105,61,63,66,65,40,95,88,338,9540512
55,73,107,61,64,62,64,38,95,88,343,9540512
56,75,102,61,64,62,61,39,97,87,347,9540512
57,76,105,60,60,61,60,38,99,88,349,9540512
58,79,106,57,57,59,61,39,98,90,349,9540512
59,79,104,60,59,58,61,41,96,87,349,9540512
60,71,104,58,60,74,72,42,93,84,338,9540547
61,72,97,57,65,91,80,44,95,84,310,9540547
62,73,99,53,61,85,74,39,95,86,330,9540547
63,71,100,54,62,86,79,44,92,87,320,9540547
64,75,98,55,60,87,78,43,96,86,317,9540547
65,72,97,56,61,84,83,43,94,83,321,9540547
66,76,92,56,61,88,79,45,95,86,317,9540547
67,73,93,57,62,86,81,43,95,83,322,9540547
68,76,95,55,60,86,77,45,96,86,320,9540547
69,75,94,57,61,87,78,47,94,84,319,9540547
70,73,96,56,61,85,81,46,94,85,319,9540547
71,71,102,56,61,76,72,42,95,82,338,9540547
72,73,98,55,59,84,76,44,96,84,326,9540547
73,70,102,59,61,76,74,42,95,80,336,9540547
74,73,104,56,61,74,72,42,95,82,335,9540547
75,71,104,56,60,72,72,43,94,83,340,9540547
76,70,105,56,61,73,71,41,94,84,340,9540547
77,71,103,57,63,73,70,43,95,81,339,9540547
78,73,103,53,63,74,73,42,97,86,330,9540547
79,74,99,55,63,84,75,46,92,87,321,9540547
80,77,109,59,69,84,67,41,95,71,323,9540563
81,66,99,67,87,118,82,44,88,65,280,9540563
82,65,99,65,86,119,83,44,87,63,284,9540563
83,66,94,66,91,117,83,44,89,61,284,9540563
84,66,96,67,88,117,82,45,87,63,284,9540563
85,65,99,65,84,120,83,45,86,63,285,9540563
86,64,98,66,90,120,82,45,86,63,281,9540563
87,64,100,64,86,115,82,43,87,64,289,9540563
88,65,97,64,88,119,83,44,86,63,285,9540563
89,67,96,65,89,118,82,47,85,63,284,9540563
90,76,108,59,70,88,71,45,95,69,314,9540563
91,68,95,64,86,118,82,44,87,63,286,9540563
92,76,103,59,71,91,68,46,93,68,320,9540563
93,77,111,52,64,82,72,45,94,74,325,9540563
94,75,104,54,65,87,77,50,91,70,323,9540563
95,70,103,55,80,99,82,45,89,70,303,9540563
96,71,103,64,84,105,78,42,90,67,293,9540563
97,70,99,68,87,109,78,41,90,66,287,9540563
98,69,98,67,88,116,81,44,85,66,282,9540563
99,72,101,56,73,80,70,43,92,77,330,9540601
100,75,101,57,73,78,71,41,95,77,326,9540601
101,76,104,57,71,81,74,43,95,72,322,9540601
102,74,98,60,78,88,75,43,91,72,317,9540601
103,73,100,57,74,90,78,41,91,71,320,9540601
104,75,98,57,77,89,78,41,93,71,316,9540601
