,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,name
0,214,61,51,55,75,35,47,63,63,331,133,32,38,42,62,32,43,63,60,489,9326871
1,221,62,49,55,73,36,46,62,63,328,139,33,39,43,57,31,43,63,58,490,9326871
2,225,65,48,56,75,34,44,59,62,326,137,33,39,45,59,33,43,60,57,488,9326871
3,216,60,51,53,75,35,48,61,60,335,133,32,38,44,60,33,41,60,58,496,9326871
4,216,62,49,56,76,36,46,62,60,332,134,34,36,45,60,33,43,60,61,487,9326871
5,201,61,53,57,79,35,49,65,63,331,128,33,39,42,59,31,38,63,62,500,9326871
6,223,64,49,56,75,35,44,61,62,326,139,32,39,42,61,33,41,60,58,490,9326871
7,218,63,50,54,75,36,46,62,63,329,140,33,39,43,60,33,39,62,60,487,9326871
8,219,61,54,54,75,37,46,63,62,324,132,34,40,44,61,33,44,64,61,482,9326871
9,209,61,52,53,75,38,48,66,64,328,135,32,40,42,59,34,42,59,61,492,9326871
10,217,63,52,55,72,36,47,64,63,326,134,34,39,41,61,31,42,61,62,490,9326871
11,221,60,51,55,75,35,46,62,61,329,139,33,37,44,57,33,41,60,59,492,9326871
12,223,63,51,55,73,36,47,63,62,321,136,33,39,43,60,33,41,60,59,490,9326871
13,216,65,51,55,73,36,48,64,61,326,132,33,38,44,62,34,43,64,60,484,9326871
14,213,62,51,55,74,37,47,63,65,328,132,35,40,43,61,32,41,63,61,488,9326871
15,223,63,50,54,75,35,46,61,64,324,139,32,41,43,61,33,42,62,59,483,9326871
16,220,65,52,55,74,37,47,63,62,320,136,35,41,42,64,31,43,62,59,481,9326871
17,220,65,52,56,73,35,46,61,64,322,135,33,38,43,61,34,40,61,58,490,9326871
18,226,62,53,57,69,37,46,61,62,322,136,34,39,44,61,33,43,62,62,480,9326871
19,142,48,46,49,88,37,50,76,79,380,92,23,30,31,69,25,33,66,70,557,9332898
20,162,53,46,46,84,39,51,79,74,361,97,25,32,31,70,26,35,67,71,540,9332898
21,162,53,48,48,85,40,53,75,74,356,100,24,31,29,67,25,35,68,70,546,9332898
22,167,54,47,47,85,40,52,76,71,357,97,26,32,31,68,26,36,69,69,540,9332898
23,156,53,47,51,89,38,53,75,74,359,94,25,32,32,68,26,34,69,69,546,9332898
24,145,52,48,48,88,37,51,74,77,374,93,23,32,28,68,26,33,68,69,555,9332898
25,161,53,47,47,83,39,52,76,73,363,97,25,30,31,68,28,35,69,70,542,9332898
26,143,52,49,50,88,39,50,79,75,370,92,22,30,31,68,24,33,70,67,557,9332898
27,152,51,47,47,85,37,52,78,73,372,92,25,31,31,69,24,34,71,72,546,9332898
28,168,54,46,50,84,39,54,78,71,351,99,26,33,32,69,26,36,68,66,540,9332898
29,152,55,48,49,86,38,51,75,76,365,93,24,29,32,67,23,36,68,70,553,9332898
30,164,53,47,50,87,39,54,75,71,357,96,24,31,32,67,26,35,66,72,545,9332898
31,158,53,49,52,85,41,53,76,70,358,95,26,32,32,68,24,37,67,70,545,9332898
32,166,56,45,51,84,40,53,72,71,355,99,24,31,32,67,26,36,67,70,544,9332898
