,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,name
0,163,40,43,35,71,36,38,80,76,413,113,25,28,26,61,26,28,61,65,562,9540474
1,168,43,40,37,84,31,34,67,67,424,115,25,31,25,63,23,25,61,60,565,9540474
2,157,44,45,40,85,37,40,74,74,400,110,24,31,28,66,23,30,65,68,549,9540474
3,168,41,43,33,73,37,43,80,79,397,112,25,31,27,62,23,25,66,64,559,9540474
4,168,41,45,33,74,36,40,83,78,397,112,26,30,26,63,22,28,65,66,556,9540474
5,164,44,44,35,73,36,43,83,79,393,109,26,34,27,67,24,26,65,65,553,9540474
6,175,44,42,36,72,36,40,79,73,398,115,27,32,27,64,24,27,64,65,549,9540474
7,162,45,45,36,75,35,42,83,78,396,109,23,30,26,65,24,27,63,66,562,9540474
8,163,42,45,36,76,38,41,79,78,398,107,24,31,27,65,23,27,64,66,560,9540474
9,155,45,42,40,74,36,43,81,79,399,104,23,30,27,66,23,27,68,67,561,9540474
10,166,42,43,36,76,37,42,79,75,400,110,25,31,26,64,23,27,66,64,558,9540474
11,170,41,42,37,71,35,40,76,73,411,117,25,31,24,56,25,27,60,62,568,9540474
12,173,44,45,35,75,33,43,80,75,394,112,27,32,26,64,24,27,65,64,554,9540474
13,172,41,44,34,70,30,37,77,74,415,119,24,31,26,60,24,27,61,62,561,9540474
14,170,41,42,35,73,33,37,78,74,411,114,25,32,27,60,25,29,61,62,560,9540474
15,177,40,42,36,74,33,38,72,70,413,119,26,31,28,62,25,28,61,60,556,9540474
16,172,42,41,33,72,37,39,78,75,407,117,26,31,27,59,24,26,66,63,556,9540474
17,170,36,39,34,80,28,33,67,69,439,126,24,29,23,56,24,25,59,60,569,9540474
18,161,44,39,40,87,28,33,61,60,441,112,24,31,26,62,23,26,59,58,573,9540474
19,166,43,41,36,69,36,40,73,70,422,112,25,29,26,61,25,26,61,61,569,9540474
20,211,49,46,39,76,39,42,82,74,336,122,28,38,32,65,32,37,70,73,497,9540504
21,180,46,49,40,75,40,45,83,77,360,107,28,36,31,64,29,32,71,72,525,9540504
22,182,49,49,41,73,39,45,82,75,360,107,28,36,31,65,29,33,70,73,524,9540504
23,182,46,49,40,71,42,48,80,76,360,107,26,34,30,68,29,33,71,71,525,9540504
24,177,47,49,39,77,40,47,80,76,361,108,24,33,31,65,29,35,70,68,533,9540504
25,187,46,46,40,72,39,45,84,75,361,115,25,33,30,65,27,34,70,70,526,9540504
26,195,49,48,40,74,40,46,83,78,342,112,27,35,30,69,28,34,75,74,511,9540504
27,179,41,42,39,80,39,41,80,76,378,106,28,31,28,65,26,30,73,73,535,9540504
28,182,46,47,40,76,43,47,83,75,356,106,26,33,31,66,28,32,72,75,527,9540504
29,195,44,47,37,70,41,45,85,75,356,112,29,36,30,67,30,33,74,71,514,9540504
30,195,49,47,39,73,43,44,83,77,344,116,27,32,32,67,32,35,74,71,512,9540504
31,200,48,50,42,74,41,44,81,75,338,115,30,38,33,65,31,34,74,74,502,9540504
